step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
18,CASH_IN,180078.01,C1791832105,2796833.2,2976911.22,C1756248403,1169682.86,989604.85,0,0
258,PAYMENT,2138.35,C634754263,0.0,0.0,M205383539,0.0,0.0,0,0
183,TRANSFER,342675.47,C1778106585,342675.47,0.0,C144558690,0.0,0.0,1,0
577,TRANSFER,141730.2,C1677850525,141730.2,0.0,C607738036,0.0,0.0,1,0
742,TRANSFER,4009058.39,C1044665079,4009058.39,0.0,C750074708,0.0,0.0,1,0
543,TRANSFER,2558618.27,C1229649217,2558618.27,0.0,C642148524,0.0,0.0,1,0
20,CASH_OUT,22043.77,C1976502159,0.0,0.0,C400229760,134991.74,157035.51,0,0
614,CASH_OUT,309061.5,C934745802,309061.5,0.0,C952194929,218006.55,527068.05,1,0
17,CASH_OUT,173229.64,C1757113414,0.0,0.0,C1635448141,371750.83,544980.47,0,0
208,CASH_IN,380232.68,C1459766612,3225.0,383457.68,C1540214605,8740224.15,8359991.46,0,0
564,TRANSFER,55828.87,C76954571,55828.87,0.0,C1263626792,0.0,0.0,1,0
408,PAYMENT,910.75,C190280049,82740.0,81829.25,M1763624717,0.0,0.0,0,0
227,CASH_IN,34709.65,C520115411,4969244.08,5003953.73,C2059023411,116780.1,82070.44,0,0
241,TRANSFER,989966.55,C351713185,989966.55,0.0,C775439776,0.0,0.0,1,0
128,TRANSFER,3062506.58,C1883146038,3062506.58,0.0,C1829816934,0.0,0.0,1,0
637,CASH_IN,370816.93,C1625187123,6106459.55,6477276.48,C251813955,1390074.61,1019257.69,0,0
701,TRANSFER,8537861.24,C601921404,8537861.24,0.0,C1092111599,0.0,0.0,1,0
214,CASH_IN,64838.18,C639668327,7979361.4,8044199.58,C907701896,261741.74,196903.56,0,0
20,PAYMENT,16391.74,C1850759249,49150.0,32758.26,M996158314,0.0,0.0,0,0
383,PAYMENT,11738.6,C1396317553,72089.0,60350.4,M1687460707,0.0,0.0,0,0
281,CASH_OUT,75087.19,C98882113,128138.0,53050.81,C1801433453,45085.46,120172.64,0,0
215,PAYMENT,3663.14,C141205004,10614.0,6950.86,M2132019775,0.0,0.0,0,0
234,CASH_OUT,120385.1,C499322618,120385.1,0.0,C1596015733,0.0,120385.1,1,0
156,PAYMENT,495.91,C241238263,224597.75,224101.84,M53988112,0.0,0.0,0,0
17,TRANSFER,48656.51,C176517545,27108.0,0.0,C1859247449,28787.81,77444.32,0,0
267,TRANSFER,1259972.05,C1376942715,1259972.05,0.0,C2065571407,0.0,0.0,1,0
488,CASH_OUT,27696.89,C1714051510,27696.89,0.0,C502023164,352139.13,379836.02,1,0
148,CASH_OUT,288032.02,C44622712,288032.02,0.0,C1601170327,0.0,288032.02,1,0
493,TRANSFER,605108.36,C1640703547,605108.36,0.0,C2025320594,0.0,0.0,1,0
678,TRANSFER,749316.7,C965198261,749316.7,0.0,C636887341,0.0,0.0,1,0
12,CASH_OUT,3964129.99,C1098250442,3964129.99,0.0,C1140712423,1912955.54,5811064.07,1,0
311,TRANSFER,8589704.49,C1961162790,8589704.49,0.0,C111676219,0.0,0.0,1,0
457,TRANSFER,145482.09,C1089341002,145482.09,0.0,C1168895160,0.0,0.0,1,0
158,CASH_OUT,59874.57,C1214953052,0.0,0.0,C374602596,327978.41,387852.99,0,0
643,CASH_OUT,3092085.39,C331136549,3092085.39,0.0,C447175296,120913.17,3212998.55,1,0
354,PAYMENT,13659.0,C117244201,304049.0,290390.0,M1478661884,0.0,0.0,0,0
354,PAYMENT,7210.96,C956832650,7232.0,21.04,M888473001,0.0,0.0,0,0
234,PAYMENT,8012.51,C1245417881,0.0,0.0,M896489472,0.0,0.0,0,0
185,TRANSFER,448265.08,C473435189,448265.08,0.0,C1934689735,0.0,0.0,1,0
277,CASH_IN,285678.73,C612307553,60100.0,345778.73,C1832681167,1776756.28,1491077.56,0,0
43,TRANSFER,208634.63,C1501189064,0.0,0.0,C681818718,335772.33,544406.96,0,0
594,CASH_OUT,20498.53,C1948261837,60363.0,39864.47,C242578672,246018.02,266516.54,0,0
373,PAYMENT,15443.41,C1672831130,176235.36,160791.94,M1621949599,0.0,0.0,0,0
133,CASH_OUT,27906.63,C1197049938,11640.0,0.0,C1465966587,1942832.45,1970739.08,0,0
516,CASH_OUT,10000000.0,C934748606,10000000.0,0.0,C1976182150,195275.73,10195275.73,1,0
227,CASH_OUT,50458.11,C1175359475,0.0,0.0,C1303498195,2570545.44,2621003.55,0,0
93,PAYMENT,806.74,C760311304,48661.0,47854.26,M1824619153,0.0,0.0,0,0
523,TRANSFER,160186.79,C946605831,160186.79,0.0,C417515200,0.0,0.0,1,0
511,TRANSFER,2491.85,C1751683841,2491.85,0.0,C1911344900,0.0,0.0,1,0
260,CASH_OUT,144055.58,C1105440647,174.0,0.0,C798885941,3706.12,147761.7,0,0
509,CASH_OUT,407320.01,C1339675214,407320.01,0.0,C812692879,0.0,407320.01,1,0
743,CASH_OUT,850002.52,C1280323807,850002.52,0.0,C873221189,6510099.11,7360101.63,1,0
719,TRANSFER,6219566.63,C1254000350,6219566.63,0.0,C432911682,0.0,0.0,1,0
281,CASH_OUT,556720.82,C1521556505,556720.82,0.0,C1224252499,2525193.48,3081914.29,1,0
210,PAYMENT,14796.32,C1999970701,74492.0,59695.68,M394473430,0.0,0.0,0,0
249,CASH_OUT,139712.86,C581994968,347866.0,208153.14,C1736892835,3998800.2,4138513.05,0,0
419,TRANSFER,3118811.65,C393374945,3118811.65,0.0,C639125907,0.0,0.0,1,0
251,CASH_OUT,243221.59,C1935008971,161030.0,0.0,C2057605043,215506.92,458728.51,0,0
282,CASH_OUT,181647.66,C456239358,181647.66,0.0,C444447676,159001.95,340649.62,1,0
360,PAYMENT,1232.07,C1047920236,101640.0,100407.93,M1024920504,0.0,0.0,0,0
377,CASH_OUT,14769.89,C409242435,0.0,0.0,C1192679189,627437.09,642206.99,0,0
235,PAYMENT,6711.53,C895642752,46725.0,40013.47,M195170803,0.0,0.0,0,0
263,CASH_OUT,297465.74,C2134600514,297465.74,0.0,C2074097393,4700.53,302166.26,1,0
188,CASH_OUT,3671853.86,C329270051,3671853.86,0.0,C2110090279,160374.92,3832228.78,1,0
592,CASH_IN,187781.48,C1314070768,1586339.0,1774120.48,C339411071,200235.91,12454.43,0,0
493,CASH_OUT,605108.36,C258213312,605108.36,0.0,C1204527929,893880.11,1498988.47,1,0
648,CASH_OUT,27584.17,C641646944,27584.17,0.0,C951980885,0.0,27584.17,1,0
268,CASH_OUT,2219475.13,C10511157,2219475.13,0.0,C830333385,589145.32,2808620.45,1,0
179,CASH_IN,59309.91,C1242530427,19251878.75,19311188.67,C1400313588,1919158.88,1859848.97,0,0
481,TRANSFER,1710180.37,C2136325294,1710180.37,0.0,C1970232075,0.0,0.0,1,0
473,CASH_OUT,417620.07,C281624402,417620.07,0.0,C197249105,0.0,417620.07,1,0
209,PAYMENT,8670.8,C609293145,387712.11,379041.31,M284556160,0.0,0.0,0,0
367,CASH_OUT,902483.91,C1202457928,902483.91,0.0,C2142717530,2271023.91,3173507.82,1,0
308,PAYMENT,18604.14,C1254572031,87478.23,68874.09,M619166771,0.0,0.0,0,0
230,CASH_OUT,309838.58,C10402250,0.0,0.0,C1032439180,3811260.58,4121099.16,0,0
164,CASH_OUT,157692.93,C546682480,348.0,0.0,C764793876,60750.06,218442.99,0,0
254,PAYMENT,8951.64,C2012617253,0.0,0.0,M790254190,0.0,0.0,0,0
86,CASH_OUT,21829.31,C1952555964,21829.31,0.0,C1702948277,357009.54,378838.85,1,0
348,TRANSFER,291264.2,C189611887,291264.2,0.0,C876551475,0.0,0.0,1,0
311,DEBIT,5359.7,C1045626803,0.0,0.0,C1248318768,1177518.24,1182877.95,0,0
522,TRANSFER,1752606.15,C1333169684,1752606.15,0.0,C722968916,0.0,0.0,1,0
253,PAYMENT,52423.58,C1047398895,480.0,0.0,M1008024672,0.0,0.0,0,0
487,TRANSFER,609400.88,C1295000556,609400.88,0.0,C1061559557,0.0,0.0,1,0
349,CASH_OUT,113670.97,C760999322,301884.0,188213.03,C779661310,0.0,113670.97,0,0
157,CASH_OUT,441202.13,C1082786331,0.0,0.0,C513961441,1089480.79,1530682.92,0,0
20,CASH_IN,126679.78,C1594218772,50641.0,177320.78,C940753778,16310.32,0.0,0,0
255,PAYMENT,10451.1,C1457640570,40384.0,29932.9,M1105667870,0.0,0.0,0,0
25,CASH_OUT,1698263.69,C902520408,1698263.69,0.0,C1047966944,0.0,1698263.69,1,0
315,TRANSFER,76640.82,C1716897320,76640.82,0.0,C233158023,0.0,0.0,1,0
163,CASH_OUT,134194.59,C663221524,134194.59,0.0,C1335637774,1656961.35,1791155.94,1,0
282,CASH_OUT,8091.78,C1510812683,8091.78,0.0,C637384510,272960.57,281052.35,1,0
37,CASH_OUT,112486.46,C124687089,0.0,0.0,C179706450,257274.47,369760.93,1,0
98,CASH_OUT,427405.08,C1106916781,427405.08,0.0,C583506611,0.0,427405.08,1,0
160,CASH_OUT,32872.0,C1732777090,32872.0,0.0,C366537960,0.0,32872.0,1,0
309,PAYMENT,23387.31,C1575948822,0.0,0.0,M889178281,0.0,0.0,0,0
14,PAYMENT,9043.78,C1656272900,0.0,0.0,M6139913,0.0,0.0,0,0
609,TRANSFER,564263.94,C656681397,564263.94,0.0,C1487339522,0.0,0.0,1,0
540,CASH_OUT,3707342.38,C633635438,3707342.38,0.0,C1640217168,558618.2,4265960.58,1,0
634,CASH_OUT,458603.07,C805258361,458603.07,0.0,C791884678,118881.11,577484.18,1,0
47,CASH_OUT,156011.24,C877302181,156011.24,0.0,C2044342029,152239.96,308251.2,1,0
147,CASH_OUT,522343.83,C1605191910,522343.83,0.0,C201338913,3135268.16,3657611.99,1,0
292,TRANSFER,362335.05,C1144862911,362335.05,0.0,C552429589,0.0,0.0,1,0
537,CASH_OUT,1504.73,C237626007,1504.73,0.0,C649046930,26284.34,27789.07,1,0
67,CASH_OUT,1028326.5,C1062379106,1028326.5,0.0,C1316357800,0.0,1028326.5,1,0
362,TRANSFER,1139165.57,C828020985,1139165.57,0.0,C2065608692,0.0,0.0,1,0
17,CASH_IN,197952.58,C125418853,52218.0,250170.58,C1609277497,0.0,0.0,0,0
9,CASH_IN,100034.87,C1666139750,2461743.67,2561778.54,C657411220,856982.77,955261.22,0,0
209,CASH_IN,140393.59,C812324568,3450795.98,3591189.57,C1845209400,2167801.1,2027407.51,0,0
316,CASH_OUT,72665.95,C1181122051,72665.95,0.0,C1800302951,31012.3,103678.25,1,0
506,TRANSFER,575082.97,C1784131536,575082.97,0.0,C585236390,0.0,0.0,1,0
219,TRANSFER,2312944.11,C1091954556,2312944.11,0.0,C2120902044,0.0,0.0,1,0
302,CASH_OUT,109687.78,C1019176433,0.0,0.0,C492622613,2679382.22,2789070.0,0,0
579,TRANSFER,254564.81,C1458012832,254564.81,0.0,C1315489161,0.0,0.0,1,0
305,PAYMENT,18808.76,C108197557,6359.86,0.0,M2046285047,0.0,0.0,0,0
706,TRANSFER,265961.0,C905502978,265961.0,0.0,C493873264,0.0,0.0,1,0
396,PAYMENT,10474.97,C2000925074,0.0,0.0,M543786609,0.0,0.0,0,0
451,PAYMENT,1058.1,C1637337477,42715.48,41657.38,M1237755458,0.0,0.0,0,0
212,CASH_OUT,95375.27,C1745455825,0.0,0.0,C410158376,2787547.44,2882922.71,0,0
